"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","B13_genomic","GCA_000409585.1_Hal1_genomic.NN","GCA_000735115.1_ASM73511v1_genomic.NM","GCA_000982455.1_ASM98245v1_genomic.NM","GCA_003336815.1_ASM333681v1_genomic.NM","GCA_004328925.1_ASM432892v1_genomic.NM","GCA_008831405.1_ASM883140v1_genomic.NM","GCA_011456075.1_ASM1145607v1_genomic.NM","GCA_013186645.1_ASM1318664v1_genomic.NM","GCA_013393725.1_ASM1339372v1_genomic.NM","GCA_018122435.1_ASM1812243v1_genomic.NN","GCA_018122445.1_ASM1812244v1_genomic.NN","GCA_018122455.1_ASM1812245v1_genomic.NN","GCA_018122465.1_ASM1812246v1_genomic.NN","GCA_018122475.1_ASM1812247v1_genomic.NN","GCA_018122535.1_ASM1812253v1_genomic.NN","GCA_019583555.1_ASM1958355v1_genomic.NN","GCA_022700895.1_ASM2270089v1_genomic.NN","GCA_023518255.2_ASM2351825v2_genomic.NM","GCA_024262185.1_ASM2426218v1_genomic.NM","GCA_030519455.1_ASM3051945v1_genomic.NM","GCA_030643765.1_ASM3064376v1_genomic.NM","GCA_032598945.1_ASM3259894v1_genomic.NN","GCA_036218465.1_ASM3621846v1_genomic.NM","GCA_036231745.1_ASM3623174v1_genomic.NM","GCA_038762065.1_ASM3876206v1_genomic.NM","GCA_038898345.1_ASM3889834v1_genomic.NM","GCA_040278585.1_ASM4027858v1_genomic.NM","GCA_050908195.1_ASM5090819v1_genomic.NN","GCA_051851495.1_ASM5185149v1_genomic.NM","GCA_052976505.1_ASM5297650v1_genomic.NN","GCA_053570475.1_ASM5357047v1_genomic.NM"
"group_4407","","hypothetical protein","5","5","1","114","9645","1","1987","","257","278","265","","","","","","","","","CBBMCBHD_00418","","","","","","","","","ADNDDJPL_01542","KKOACABF_03081","","","ELIPLHKN_02782","","","","","","","","","","FAMPPICK_02212"
"group_4408","","hypothetical protein","5","5","1","114","9668","1","1984","","524","524","524","","","","","","","","","CBBMCBHD_00420","","","","","","","","","ADNDDJPL_01546","KKOACABF_03083","","","ELIPLHKN_02786","","","","","","","","","","FAMPPICK_02208"
"group_4409","","hypothetical protein","5","5","1","114","9673","1","1971","","290","341","320","","","","","","","","","CBBMCBHD_00424","","","","","","","","","ADNDDJPL_01550","KKOACABF_03087","","","ELIPLHKN_02790","","","","","","","","","","FAMPPICK_02204"
"yolA","","SPbeta prophage-derived uncharacterized protein YolA","5","5","1","114","1075","1","2576","","467","467","467","","","","","","","","","CBBMCBHD_02777","","","","","","","","","ADNDDJPL_01448","KKOACABF_03343","","","ELIPLHKN_02688","","","","","","","","","","FAMPPICK_02307"
"group_4424","","hypothetical protein","5","5","1","114","1076","1","2572","","356","356","356","","","","","","","","","CBBMCBHD_02778","","","","","","","","","ADNDDJPL_01449","KKOACABF_03344","","","ELIPLHKN_02689","","","","","","","","","","FAMPPICK_02306"
"group_4426","","hypothetical protein","5","5","1","114","1013","1","2641","","728","830","768","","","","","","","","","CBBMCBHD_02789","","","","","","","","","ADNDDJPL_01465","KKOACABF_03355","","","ELIPLHKN_02705","","","","","","","","","","FAMPPICK_02290"
"group_4427","","hypothetical protein","5","5","1","114","1040","1","2186","","350","350","350","","","","","","","","","CBBMCBHD_02802","","","","","","","","","ADNDDJPL_01478","KKOACABF_03368","","","ELIPLHKN_02718","","","","","","","","","","FAMPPICK_02276"
"group_4428","","hypothetical protein","5","5","1","114","9808","1","2264","","188","188","188","","","","","","","","","CBBMCBHD_02829","","","","","","","","","ADNDDJPL_01506","","","","ELIPLHKN_02746","","","PLHLKKDO_01380","","","","","","","FAMPPICK_02248"
"group_4430","","hypothetical protein","5","5","1","114","4389","175","6","","113","113","113","","","","","","","","","CBBMCBHD_03520","","","","","ALMECFFD_03447","","","NADAGIKK_01853","","KKOACABF_00704","","","","","","","","","","","AKHABIKF_01318","",""
"group_4480","","hypothetical protein","5","5","1","114","3489","1","3356","","464","476","473","","","","","","","","","","","","","","ALMECFFD_01388","","","NADAGIKK_02309","","","","","","","","","FNPFPPAG_00197","","","","AKHABIKF_04064","DHKOHJCB_04110",""
"group_4481","","hypothetical protein","5","5","1","114","3486","1","1323","","227","521","462","","","","","","","","","","","","","","ALMECFFD_01391","","","NADAGIKK_02312","","","","","","","","","FNPFPPAG_00193","","","","AKHABIKF_04061","DHKOHJCB_04106",""
"group_4502","","hypothetical protein","5","5","1","114","3125","1","3221","","1421","1442","1437","","","","","","","","","","","","","","","MLEOMEED_03113","","","ADNDDJPL_03203","","","MDCBHCFC_03212","ELIPLHKN_00115","","","","","","","","","","FAMPPICK_00549"
"group_4632","","hypothetical protein","5","5","1","114","8802","1","3318","","422","422","422","CBPJGFDI_00538","","","","","","LHNFOEJC_02600","OPAAANOD_00938","","","","","MMHBEFPG_00488","","","","","","","","","","","","PLHLKKDO_00567","","","","","","",""
"group_4633","","hypothetical protein","5","5","1","114","8803","1","3319","","470","470","470","CBPJGFDI_00539","","","","","","LHNFOEJC_02599","OPAAANOD_00937","","","","","MMHBEFPG_00487","","","","","","","","","","","","PLHLKKDO_00568","","","","","","",""
"group_4654","","hypothetical protein","5","5","1","114","9167","24","3","","170","170","170","CBPJGFDI_00803","","","","","","","","","","","","MMHBEFPG_01092","","","","NADAGIKK_02822","","","","","","","","","","","","","AKHABIKF_03505","DHKOHJCB_02447",""
"group_4753","","hypothetical protein","5","5","1","114","2408","1","2499","","305","305","305","CBPJGFDI_01132","","PLLECCHL_01093","","","","","OPAAANOD_00201","","","","","","","","","","","","OCCFHEHO_01077","","","","","PLHLKKDO_01269","","","","","","",""
"kamA_1","","L-lysine 2,3-aminomutase","5","5","1","114","9417","1","380","","446","1415","834","CBPJGFDI_01171","","","","","","","OPAAANOD_00475","CBBMCBHD_00503","DDCFCBDF_01558","","","","","","","","","KKOACABF_03166","","","","","","","","","","","","",""
"group_5338","","hypothetical protein","5","5","1","114","3788","3","32","","230","230","230","","JOALHOIP_00046","","","EJLPBIDD_02717","","","","","","","","","","","","","","","","MDCBHCFC_03279","","","KINKNFBI_01875","","","MPDACFMJ_03515","","","","",""
"group_5353","","hypothetical protein","5","5","1","114","4934","1","3045","","200","200","200","","JOALHOIP_00821","","","","","","","CBBMCBHD_00934","","","","","","","","","","KKOACABF_03428","","MDCBHCFC_03358","","","","","","MPDACFMJ_00034","","","","",""
"group_5381","","hypothetical protein","5","5","1","114","7141","112","9","","176","176","176","","JOALHOIP_01547","","","","","","","CBBMCBHD_02629","","","","","","","","","","KKOACABF_02953","","MDCBHCFC_00851","","","KINKNFBI_00468","","","","","","","",""
"group_5386","","hypothetical protein","5","5","1","114","1624","167","2","","152","152","152","","JOALHOIP_01753","","","","","","","","","","","MMHBEFPG_01502","","","","NADAGIKK_00637","","","","","","","KINKNFBI_03309","","","","","","AKHABIKF_00659","",""
"group_5387","","hypothetical protein","5","5","1","114","1623","167","3","","1091","1091","1091","","JOALHOIP_01754","","","","KBFHEIFM_01432","","","","","","","MMHBEFPG_01501","","","","NADAGIKK_00636","","","","","","","","","","","","","AKHABIKF_00658","",""
"group_5404","","hypothetical protein","5","5","1","114","27","20","14","","569","569","569","","JOALHOIP_02414","","","","","","","CBBMCBHD_04098","","","","","","","","","","KKOACABF_02237","","MDCBHCFC_02081","","","","","","","","LCJDOLDM_02033","","",""
"group_5405","","hypothetical protein","5","5","1","114","26","20","12","","317","317","317","","JOALHOIP_02415","","","","","","","CBBMCBHD_04099","","","","","","","","","","KKOACABF_02236","","MDCBHCFC_02080","","","","","","","","LCJDOLDM_02034","","",""
"group_5415","","hypothetical protein","5","5","1","114","2574","37","20","","917","917","917","","JOALHOIP_02605","","","","","","OPAAANOD_01953","","","","","MMHBEFPG_01051","","","","","","","OCCFHEHO_02623","","","","","","","","","LCJDOLDM_00312","","",""
"bshB1_1","","N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1","5","5","1","114","2572","37","21","","677","677","677","","JOALHOIP_02606","","","","","","OPAAANOD_01954","","","","","MMHBEFPG_01050","","","","","","","OCCFHEHO_02624","","","","","","","","","LCJDOLDM_00313","","",""
"strE","","dTDP-glucose 4,6-dehydratase","5","5","1","114","2568","37","7","","929","929","929","","JOALHOIP_02610","","","","","","OPAAANOD_01958","","","","","MMHBEFPG_01046","","","","","","","OCCFHEHO_02628","","","","","","","","","LCJDOLDM_00317","","",""
"arnB_1","","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase","5","5","1","114","2567","37","8","","1130","1130","1130","","JOALHOIP_02611","","","","","","OPAAANOD_01959","","","","","MMHBEFPG_01045","","","","","","","OCCFHEHO_02629","","","","","","","","","LCJDOLDM_00318","","",""
"wbpA","","UDP-N-acetyl-D-glucosamine 6-dehydrogenase","5","5","1","114","2566","37","9","","1334","1334","1334","","JOALHOIP_02612","","","","","","OPAAANOD_01960","","","","","MMHBEFPG_01044","","","","","","","OCCFHEHO_02630","","","","","","","","","LCJDOLDM_00319","","",""
"group_5420","","hypothetical protein","5","5","1","114","5976","35","5","","551","551","551","","JOALHOIP_02665","","","EJLPBIDD_02908","","","","","","","","","","","","","","","","MDCBHCFC_02496","","","","","","MPDACFMJ_00689","DNCMPOJM_00360","","","",""
"group_5432","","Barstar","5","5","1","114","7548","1","164","","275","275","275","","JOALHOIP_03050","","","","","","","","","","","","","","","","","KKOACABF_04126","","MDCBHCFC_00465","","","KINKNFBI_00057","","","","","LCJDOLDM_03706","","",""
"group_5468","","hypothetical protein","5","5","1","114","5881","63","1","","461","461","461","","JOALHOIP_03628","","","","","","","CBBMCBHD_01499","","","","","","","","","","KKOACABF_03225","","MDCBHCFC_02435","","","","","","","","LCJDOLDM_00434","","",""
"group_5477","argO","Arginine exporter protein ArgO","5","5","1","114","919","49","1","","611","611","611","","","PLLECCHL_00225","","","","","","","","","","","","","","","","","OCCFHEHO_00224","","","","","PLHLKKDO_02122","","","","","AKHABIKF_00451","DHKOHJCB_01266",""
"group_5481","","hypothetical protein","5","5","1","114","1001","1","967","","392","392","392","","","PLLECCHL_00338","CKPFFKFG_02669","","","LHNFOEJC_01235","","CBBMCBHD_04010","","","","","","","","","","KKOACABF_03947","","","","","","","","","","","","",""
"group_5487","","hypothetical protein","5","5","1","114","1232","1","2516","","293","293","293","","","PLLECCHL_00912","","EJLPBIDD_05379","","","OPAAANOD_00026","","","","","","","","","","","","OCCFHEHO_00901","","","","","PLHLKKDO_01442","","","","","","",""
"group_5553","","hypothetical protein","5","5","1","114","3296","1","2451","","362","362","362","","","PLLECCHL_01079","","EJLPBIDD_00980","","","OPAAANOD_00187","","","","","","","","","","","","OCCFHEHO_01063","","","","","PLHLKKDO_01283","","","","","","",""
"group_5570","","hypothetical protein","5","5","1","114","2450","1","2508","","599","599","599","","","PLLECCHL_01102","","EJLPBIDD_05161","","","OPAAANOD_00210","","","","","","","","","","","","OCCFHEHO_01086","","","","","PLHLKKDO_01260","","","","","","",""
"group_5571","","hypothetical protein","5","5","1","114","2452","1","2510","","146","146","146","","","PLLECCHL_01103","","EJLPBIDD_05160","","","OPAAANOD_00211","","","","","","","","","","","","OCCFHEHO_01087","","","","","PLHLKKDO_01259","","","","","","",""
"group_5576","","hypothetical protein","5","5","1","114","1128","32","19","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","530","530","530","","","PLLECCHL_01206","","","","","","","","DFPKOMDA_03478","KAALHNMO_02757","","","MLEOMEED_00274","AGNKOGBN_00671","","","","","","","","","","","","","","","",""
"group_5600","","hypothetical protein","5","5","1","114","7760","1","246","","1523","1523","1523","","","PLLECCHL_02075","","EJLPBIDD_01275","","","","","","","","MMHBEFPG_00633","","","","","","","","","","","","PLHLKKDO_00330","","","","","AKHABIKF_02087","",""
"group_5606","","hypothetical protein","5","5","1","114","7364","1","286","","629","629","629","","","PLLECCHL_02085","","","","","","","","","","MMHBEFPG_00584","","","","","","","OCCFHEHO_04046","","","","","PLHLKKDO_00321","","","","","AKHABIKF_02078","",""
"group_5607","","hypothetical protein","5","5","1","114","7365","1","285","","1175","1175","1175","","","PLLECCHL_02086","","","","","","","","","","MMHBEFPG_00583","","","","","","","OCCFHEHO_04047","","","","","PLHLKKDO_00320","","","","","AKHABIKF_02077","",""
"group_5619","","hypothetical protein","5","5","1","114","7404","1","1753","","128","128","128","","","PLLECCHL_02113","","","","","","","","","","MMHBEFPG_00556","ALMECFFD_02122","","","","","","","","","","","PLHLKKDO_00294","","","","","AKHABIKF_02049","",""
"group_5629","","hypothetical protein","5","5","1","114","8323","1","1805","","140","140","140","","","PLLECCHL_02139","","EJLPBIDD_02065","","","","","","","","MMHBEFPG_00530","","","","","","","","","","","","PLHLKKDO_00270","","","","","AKHABIKF_02026","",""
"group_5630","","hypothetical protein","5","5","1","114","8328","1","1801","","1037","1037","1037","","","PLLECCHL_02142","","EJLPBIDD_02061","","","","","","","","MMHBEFPG_03049","","","","","","","","","","","","PLHLKKDO_00266","","","","","AKHABIKF_02023","",""
"group_5631","","hypothetical protein","5","5","1","114","8329","1","1800","","476","476","476","","","PLLECCHL_02143","","EJLPBIDD_02060","","","","","","","","MMHBEFPG_03050","","","","","","","","","","","","PLHLKKDO_00265","","","","","AKHABIKF_02022","",""
"group_5808","","hypothetical protein","5","5","1","114","6043","345","2","","419","419","419","","","","CKPFFKFG_01605","","KBFHEIFM_03577","LHNFOEJC_03470","","","","","","","","","","NADAGIKK_01227","","","","","","","","","","","","","","DHKOHJCB_00306",""
"group_5809","yvyC","putative protein YvyC","5","5","1","114","5826","1521","3","","329","329","329","","","","CKPFFKFG_01744","","","LHNFOEJC_03610","","","","","","","","","","","","","","","","","","","FNPFPPAG_03563","MPDACFMJ_00601","","","","DHKOHJCB_00445",""
"group_590","yesZ","Beta-galactosidase YesZ","5","5","1","114","494","42","12","","1403","1991","1873","","JOALHOIP_00446","PLLECCHL_04009","","EJLPBIDD_03099","","","OPAAANOD_03615","","","","","","","","","","","","","","","","","PLHLKKDO_03939","","","","","","",""
"group_596","gerBA_2","hypothetical protein","5","5","1","114","135","29","4","","188","533","326","","","PLLECCHL_04076","","","","","","CBBMCBHD_00683","","","","","","","","","","KKOACABF_02732","OCCFHEHO_03862","","","","","PLHLKKDO_03731","","","","","","",""
"group_6209","yobK","Antitoxin YobK","5","5","1","114","7519","1","2682","","464","464","464","","","","","EJLPBIDD_01278","","","OPAAANOD_01779","","","","","","ALMECFFD_01447","","","","","","","","","GIOCAJEK_02523","","","FNPFPPAG_02622","","","","","",""
"group_6210","","hypothetical protein","5","5","1","114","7522","1","241","","722","722","722","","","","","EJLPBIDD_01279","","","","","","","","","ALMECFFD_01446","","","","","","","","","GIOCAJEK_02524","","","FNPFPPAG_02623","","DNCMPOJM_02668","","","",""
"group_6372","yvbK","putative N-acetyltransferase YvbK","5","5","1","114","6057","37","12","","461","461","461","","","","","EJLPBIDD_02402","","","","CBBMCBHD_01383","","","","","","","","","","KKOACABF_00875","","","","","","","","MPDACFMJ_00745","DNCMPOJM_00305","","","",""
"group_6877","","hypothetical protein","5","5","1","114","8671","1","3411","","215","215","215","","","","","","KBFHEIFM_02639","","","","","","","","ALMECFFD_01441","","","","","","","","","GIOCAJEK_02532","","","FNPFPPAG_02628","","","","AKHABIKF_02304","",""
"group_6879","","hypothetical protein","5","5","1","114","7272","1","3425","","266","266","266","","","","","","KBFHEIFM_02642","","","","","","","","ALMECFFD_01439","","","","","","","","","GIOCAJEK_02534","","","FNPFPPAG_02630","","","","AKHABIKF_02302","",""
"group_6903","","hypothetical protein","5","5","1","114","7660","1","1510","","155","155","155","","","","","","KBFHEIFM_02874","","OPAAANOD_01256","","DDCFCBDF_00873","DFPKOMDA_02178","","","","","","","","","","","","GIOCAJEK_02764","","","","","","","","",""
"group_6904","","hypothetical protein","5","5","1","114","7662","1","1508","","272","272","272","","","","","","KBFHEIFM_02876","","OPAAANOD_01258","","DDCFCBDF_00871","DFPKOMDA_02176","","","","","","","","","","","","GIOCAJEK_02766","","","","","","","","",""
"immA","","Metallopeptidase ImmA","5","5","1","114","7664","1","1506","","446","446","446","","","","","","KBFHEIFM_02878","","OPAAANOD_01260","","DDCFCBDF_00869","DFPKOMDA_02174","","","","","","","","","","","","GIOCAJEK_02768","","","","","","","","",""
"group_7013","","hypothetical protein","5","5","1","114","5203","57","11","","278","278","278","","","","","","","LHNFOEJC_04032","OPAAANOD_02525","CBBMCBHD_00812","","","","","","","","","","KKOACABF_01606","","MDCBHCFC_03506","","","","","","","","","","",""
"group_7014","","hypothetical protein","5","5","1","114","5204","57","26","","248","248","248","","","","","","","LHNFOEJC_04033","OPAAANOD_02526","CBBMCBHD_00813","","","","","","","","","","KKOACABF_01607","","MDCBHCFC_03505","","","","","","","","","","",""
"group_7053","","hypothetical protein","5","5","1","114","9685","1","1928","","221","221","221","","","","","","","","OPAAANOD_00130","","","","","","","","","","ADNDDJPL_01557","","OCCFHEHO_01016","","ELIPLHKN_02797","","","","","","","","","","FAMPPICK_02197"
"group_7078","","hypothetical protein","5","5","1","114","9554","1","2367","","281","281","281","","","","","","","","OPAAANOD_00392","CBBMCBHD_00587","","","","","","","","","","","OCCFHEHO_01254","","","","","PLHLKKDO_01089","","","","LCJDOLDM_03121","","",""
"group_7289","","hypothetical protein","5","5","1","114","9670","1","1967","","278","278","278","","","","","","","","","CBBMCBHD_00421","","","","","","","","","ADNDDJPL_01547","KKOACABF_03084","","","ELIPLHKN_02787","","","","","","","","","","FAMPPICK_02207"
"group_7291","","hypothetical protein","5","5","1","114","9672","1","1970","","374","374","374","","","","","","","","","CBBMCBHD_00423","","","","","","","","","ADNDDJPL_01549","KKOACABF_03086","","","ELIPLHKN_02789","","","","","","","","","","FAMPPICK_02205"
"group_7316","","hypothetical protein","5","5","1","114","2438","1","2493","","191","191","191","","","","","","","","","CBBMCBHD_00491","","","","","","","","","ADNDDJPL_01612","KKOACABF_03154","","","ELIPLHKN_02852","","","","","","","","","","FAMPPICK_02141"
"group_7370","","hypothetical protein","5","5","1","114","1077","1","2351","","311","311","311","","","","","","","","","CBBMCBHD_02779","","","","","","","","","ADNDDJPL_01450","KKOACABF_03345","","","ELIPLHKN_02690","","","","","","","","","","FAMPPICK_02305"
"group_7373","","hypothetical protein","5","5","1","114","1053","1","2158","","329","329","329","","","","","","","","","CBBMCBHD_02797","","","","","","","","","ADNDDJPL_01473","KKOACABF_03363","","","ELIPLHKN_02713","","","","","","","","","","FAMPPICK_02281"
"group_7376","","hypothetical protein","5","5","1","114","1041","1","2159","","191","191","191","","","","","","","","","CBBMCBHD_02801","","","","","","","","","ADNDDJPL_01477","KKOACABF_03367","","","ELIPLHKN_02717","","","","","","","","","","FAMPPICK_02277"
"group_7377","","hypothetical protein","5","5","1","114","9832","1","2187","","1217","1217","1217","","","","","","","","","CBBMCBHD_02803","","","","","","","","","ADNDDJPL_01479","KKOACABF_03369","","","ELIPLHKN_02719","","","","","","","","","","FAMPPICK_02275"
"group_7378","","hypothetical protein","5","5","1","114","9833","1","2188","","359","359","359","","","","","","","","","CBBMCBHD_02804","","","","","","","","","ADNDDJPL_01480","KKOACABF_03370","","","ELIPLHKN_02720","","","","","","","","","","FAMPPICK_02274"
"sunA","","SPbeta prophage-derived bacteriocin sublancin-168","5","5","1","114","9940","1","1030","","170","170","170","","","","","","","","","","DDCFCBDF_01645","","","","","","","","ADNDDJPL_01454","","","","ELIPLHKN_02694","","KINKNFBI_00607","","","","","","","","FAMPPICK_02301"
"group_829","spo0M","Sporulation-control protein spo0M","5","5","1","114","753","6","10","","158","776","652","","","","","","","","","","","DFPKOMDA_01607","","","","","","","","","OCCFHEHO_00019","MDCBHCFC_02119","","","","PLHLKKDO_02328","","","","","AKHABIKF_00246","",""
"group_8742","cpdA_1","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","5","5","1","114","5050","16","37","","1445","1445","1445","","","","","","","","","","","DFPKOMDA_00055","","","","","AGNKOGBN_02916","","ADNDDJPL_03843","","","","ELIPLHKN_00755","","","","","","","","","","FAMPPICK_04239"
"group_8745","","hypothetical protein","5","5","1","114","3087","9","17","","755","755","755","","","","","","","","","","","DFPKOMDA_00154","","","","","AGNKOGBN_02962","","ADNDDJPL_03797","","","","ELIPLHKN_00709","","","","","","","","","","FAMPPICK_04285"
"group_875","pbuE_3","Purine efflux pump PbuE","5","5","1","114","4469","22","1","","488","1172","1035","CBPJGFDI_04020","","","","EJLPBIDD_02123","KBFHEIFM_00317","","","","","","","","","","AGNKOGBN_03040","","","","","","","GIOCAJEK_00236","","","","","","","","",""
"group_8756","","hypothetical protein","5","5","1","114","6138","1","402","","221","221","221","","","","","","","","","","","DFPKOMDA_02268","KAALHNMO_00363","MMHBEFPG_02641","","MLEOMEED_02106","AGNKOGBN_00018","","","","","","","","","","","","","","","",""
"group_8757","","hypothetical protein","5","5","1","114","6672","1","403","","92","92","92","","","","","","","","","","","DFPKOMDA_02269","KAALHNMO_00364","MMHBEFPG_02642","","MLEOMEED_02105","AGNKOGBN_00017","","","","","","","","","","","","","","","",""
"group_8758","","hypothetical protein","5","5","1","114","2466","1","442","","311","311","311","","","","","","","","","","","DFPKOMDA_02294","KAALHNMO_01220","MMHBEFPG_00810","","MLEOMEED_02046","AGNKOGBN_01389","","","","","","","","","","","","","","","",""
"group_8759","","hypothetical protein","5","5","1","114","2493","1","419","","653","653","653","","","","","","","","","","","DFPKOMDA_02295","KAALHNMO_01221","MMHBEFPG_00811","","MLEOMEED_02045","AGNKOGBN_01388","","","","","","","","","","","","","","","",""
"group_8762","","hypothetical protein","5","5","1","114","6643","1","3429","","200","200","200","","","","","","","","","","","DFPKOMDA_02302","KAALHNMO_01228","MMHBEFPG_00818","","MLEOMEED_02038","AGNKOGBN_01381","","","","","","","","","","","","","","","",""
"group_8763","","hypothetical protein","5","5","1","114","6642","1","3430","","269","269","269","","","","","","","","","","","DFPKOMDA_02303","KAALHNMO_01229","MMHBEFPG_00819","","MLEOMEED_02037","AGNKOGBN_01380","","","","","","","","","","","","","","","",""
"group_8764","","hypothetical protein","5","5","1","114","6640","1","593","","356","356","356","","","","","","","","","","","DFPKOMDA_02306","KAALHNMO_01232","MMHBEFPG_02789","","MLEOMEED_02034","AGNKOGBN_02476","","","","","","","","","","","","","","","",""
"group_8774","","hypothetical protein","5","5","1","114","9990","1","660","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","416","416","416","","","","","","","","","","","DFPKOMDA_03207","KAALHNMO_00359","MMHBEFPG_03172","","MLEOMEED_02110","AGNKOGBN_00022","","","","","","","","","","","","","","","",""
"group_8785","xerC_2","Tyrosine recombinase XerC","5","5","1","114","2472","1","453","","1145","1145","1145","","","","","","","","","","","","KAALHNMO_01918","MMHBEFPG_00805","","MLEOMEED_02051","AGNKOGBN_01394","","","","","","","","KINKNFBI_03464","","","","","","","",""
"yesO_2","","Putative ABC transporter substrate-binding protein YesO","5","5","1","114","9520","1","1035","","1268","1268","1268","","","","","","","","","","","","","MMHBEFPG_01582","","","","NADAGIKK_02196","","","","","","GIOCAJEK_01997","","","","","","","AKHABIKF_03766","DHKOHJCB_02185",""
"araQ_3","","L-arabinose transport system permease protein AraQ","5","5","1","114","9521","1","1034","","881","881","881","","","","","","","","","","","","","MMHBEFPG_01583","","","","NADAGIKK_02195","","","","","","GIOCAJEK_01998","","","","","","","AKHABIKF_03765","DHKOHJCB_02186",""
"araP_1","","L-arabinose transport system permease protein AraP","5","5","1","114","9522","1","1033","","884","884","884","","","","","","","","","","","","","MMHBEFPG_01584","","","","NADAGIKK_02194","","","","","","GIOCAJEK_01999","","","","","","","AKHABIKF_03764","DHKOHJCB_02187",""
"agaA","","Alpha-galactosidase AgaA","5","5","1","114","9523","1","1032","","2240","2240","2240","","","","","","","","","","","","","MMHBEFPG_02011","","","","NADAGIKK_01800","","","","","","GIOCAJEK_02000","","","","","","","AKHABIKF_03763","DHKOHJCB_02188",""
"bglK","","Beta-glucoside kinase","5","5","1","114","9524","1","1031","","968","968","968","","","","","","","","","","","","","MMHBEFPG_02012","","","","NADAGIKK_01801","","","","","","GIOCAJEK_02001","","","","","","","AKHABIKF_03762","DHKOHJCB_02189",""
"group_8829","","Mannan endo-1,4-beta-mannosidase","5","5","1","114","9516","1","1039","","2063","2063","2063","","","","","","","","","","","","","MMHBEFPG_02439","","","","NADAGIKK_02200","","","","","","GIOCAJEK_01993","","","","","","","AKHABIKF_03770","DHKOHJCB_02181",""
"group_8830","purR_2","HTH-type transcriptional repressor PurR","5","5","1","114","9517","1","1038","","1019","1019","1019","","","","","","","","","","","","","MMHBEFPG_02440","","","","NADAGIKK_02199","","","","","","GIOCAJEK_01994","","","","","","","AKHABIKF_03769","DHKOHJCB_02182",""
"bglH_2","","Aryl-phospho-beta-D-glucosidase BglH","5","5","1","114","9518","1","1037","","1364","1364","1364","","","","","","","","","","","","","MMHBEFPG_02441","","","","NADAGIKK_02198","","","","","","GIOCAJEK_01995","","","","","","","AKHABIKF_03768","DHKOHJCB_02183",""
"group_8854","","hypothetical protein","5","5","1","114","4550","1","1310","","149","149","149","","","","","","","","","","","","","","ALMECFFD_01357","","","NADAGIKK_02315","","","","","","","","","FNPFPPAG_00189","","","","AKHABIKF_04058","DHKOHJCB_04103",""
"group_8855","","hypothetical protein","5","5","1","114","3499","1","1238","","356","356","356","","","","","","","","","","","","","","ALMECFFD_01378","","","NADAGIKK_02299","","","","","","","","","FNPFPPAG_00207","","","","AKHABIKF_04074","DHKOHJCB_04120",""
"group_8856","","hypothetical protein","5","5","1","114","3498","1","1237","","392","392","392","","","","","","","","","","","","","","ALMECFFD_01379","","","NADAGIKK_02300","","","","","","","","","FNPFPPAG_00206","","","","AKHABIKF_04073","DHKOHJCB_04119",""
"group_8858","","hypothetical protein","5","5","1","114","3493","1","3361","","284","284","284","","","","","","","","","","","","","","ALMECFFD_01382","","","NADAGIKK_02303","","","","","","","","","FNPFPPAG_00204","","","","AKHABIKF_04070","DHKOHJCB_04116",""
"group_8859","","hypothetical protein","5","5","1","114","3492","1","3362","","167","167","167","","","","","","","","","","","","","","ALMECFFD_01383","","","NADAGIKK_02304","","","","","","","","","FNPFPPAG_00203","","","","AKHABIKF_04069","DHKOHJCB_04115",""
"group_8860","","hypothetical protein","5","5","1","114","3490","1","3357","","155","155","155","","","","","","","","","","","","","","ALMECFFD_01385","","","NADAGIKK_02308","","","","","","","","","FNPFPPAG_00198","","","","AKHABIKF_04065","DHKOHJCB_04111",""
"group_8885","","hypothetical protein","5","5","1","114","8832","1","2703","","185","185","185","","","","","","","","","","","","","","ALMECFFD_01627","","","","","","","","","GIOCAJEK_02516","","","FNPFPPAG_02616","MPDACFMJ_01638","","","AKHABIKF_03433","",""
"yndE_2","","Spore germination protein YndE","5","5","1","114","1176","11","6","","353","1091","648","","","","CKPFFKFG_00039","","","LHNFOEJC_01938","","","","","","","","","","","","","OCCFHEHO_01139","","","","KINKNFBI_03866","PLHLKKDO_01208","","","","","","",""
"group_925","yqaI","putative protein YqaI","5","5","1","114","8314","1","1810","","104","203","182","","","PLLECCHL_02134","","EJLPBIDD_02068","KBFHEIFM_03277","","","","","","","MMHBEFPG_00535","","","","","","","","","","","","","","","","","AKHABIKF_02031","",""
"group_969","csbX","Alpha-ketoglutarate permease","5","5","1","114","8428","397","2","","488","1307","1101","","","","","EJLPBIDD_01751","","LHNFOEJC_02815","","CBBMCBHD_01967","","","","","","","","","","","","","","","KINKNFBI_02792","","","","","","","DHKOHJCB_02904",""
